restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location
Balaji Fastfood,4.1,100,32,0,0,1,1,0,0,Rajkot
Balaji Feel Hungry,3,150,28,0,1,0,1,0,0,Bareilly
Balaji Foods,4,200,33,1,1,0,0,0,0,Kanpur
Balaji Foods And Nashta Point,3.8,150,36,1,1,0,1,0,0,Nagpur
Balaji Grand,3.9,150,33,0,1,0,0,0,0,Lucknow
Balaji Hotel,4.4,150,31,1,0,0,0,0,0,Vijayawada
Balaji Jai Narayan Mithai Bhandar,4,100,52,0,1,1,1,0,0,Hyderabad
Balaji Ka Dhaba,4,100,45,1,1,0,0,0,0,Lucknow
Balaji Khaman House,4,100,40,0,0,0,1,0,0,Vadodara
Balaji Kulfi Faluda,4,200,22,0,0,0,0,0,0,Vijayawada
Balaji Lunch Home - Unit Of Shree Balaji Mess,3.4,100,24,1,1,0,1,0,0,Puducherry
Balaji Mahesh Mithai Bhandar,4.3,100,39,0,0,0,1,0,0,Hyderabad
Balaji Mangalam Family Restaurant,3.9,300,44,0,1,0,0,1,0,Hyderabad
Balaji Mess,3.9,300,35,0,1,0,0,1,0,Mysore
Balaji Mukesh Mithai Bhandar,4.4,100,26,0,0,0,0,0,0,Hyderabad
Balaji Palace,3.2,150,37,0,1,1,0,0,0,Raipur
Balaji Panipuri,4.2,50,28,0,0,1,1,0,0,Rajkot
Balaji Papalal Mithai Bhandar,3.7,100,52,0,0,0,1,0,0,Hyderabad
Balaji Pizza Cafe,4.2,100,27,0,0,0,1,0,0,Firozabad
Balaji Pure Veg,4.2,150,56,1,1,0,1,1,0,Mumbai
Balaji Pure Veg,4.3,100,47,1,1,1,0,0,0,Mumbai
Balaji Rasoi,4.1,150,49,0,1,0,0,0,0,NCR
Balaji Ratanlal Sweets and Chaat,3.7,150,33,0,0,1,1,0,0,Warangal
Balaji Restaurant,3.4,200,46,0,1,0,0,0,0,Jodhpur
Balaji Restaurant,4.2,100,28,1,0,0,1,0,0,Rajkot
Balaji Restaurant,4.3,150,34,1,1,0,0,0,0,Surat
Balaji Royal Dhaba,4.1,150,40,0,1,1,1,0,0,Lucknow
Balaji Sandwich,3.7,150,36,0,0,1,1,0,0,Vadodara
Balaji Sandwich,4.4,50,21,0,0,0,0,0,0,Rajkot
Balaji Sandwich - Alsa Mall,4.1,250,48,0,0,1,0,0,0,Chennai
Balaji Sandwich & Food Zone,4.2,50,16,0,0,0,0,0,0,Rajkot
Balaji Sandwich Corner,3.9,50,40,0,0,1,1,0,0,Surat
Balaji Santhosh Dhaba,4,200,31,0,1,0,0,1,0,Hyderabad
Balaji Santhosh Dhaba,4.1,100,38,0,1,0,0,1,0,Hyderabad
Balaji Santosh Dhaba,3.9,250,32,0,1,0,0,1,0,Hyderabad
Balaji Santosh Family Dhaba,3.6,100,37,0,1,0,0,0,0,Hyderabad
Balaji Santosh Family Dhaba,4.1,100,38,0,1,0,0,0,0,Hyderabad
Balaji Soya Chaap,4.2,150,31,0,1,0,0,0,0,Ajmer
Balaji Spencer,4,50,18,1,1,0,0,0,0,Jamshedpur
Balaji Vaishnav Bhojanalay,3.4,50,33,0,1,0,0,0,0,Bhopal
Balan's Kamalam Restaurant,4.4,100,28,0,0,0,0,0,0,Trivandrum
Balaram Mullick & Radharaman Mullick Sweets,4.4,50,34,0,0,1,0,0,0,Kolkata
Balarwa Haveli,4,150,36,0,1,0,0,0,0,Jodhpur
Balkrishna Santosh Family Dhaba,4.1,350,56,0,1,0,0,1,0,Hyderabad
Ballaree Hotel,4.1,150,31,0,1,0,0,0,0,Bhubaneswar
Balle Balle Delhi Wale Soya Chaap Zone,4,100,42,0,0,0,1,0,0,Lucknow
Balle Balle Dhaba,3.7,200,38,0,1,0,0,1,0,Bareilly
Balle Balle Dhaba,4.1,200,42,0,1,0,0,1,0,Kolkata
Balle Balle Restaurant,4.3,350,32,0,1,0,0,0,0,Indore
Balle Balle Trivandrum,3.3,350,56,0,1,0,0,0,0,Trivandrum
Ballu Bawarchi,3.4,200,34,0,1,0,0,1,0,NCR
Ballu Tandooriyaa,3.8,150,33,0,1,0,0,0,0,Bareilly
Ballygunge Cuisine,4.2,150,46,0,0,0,0,0,0,Guwahati
Ballygunge Dhaba,4.2,200,42,0,1,1,0,1,0,Kolkata
Balubhai's Khaman,4.5,100,19,0,0,0,0,0,0,Vadodara
Balu's Classic,4,200,29,0,0,1,0,0,0,Mumbai
Balveer Punjab Hotel,3.8,150,36,0,1,0,0,0,0,Bhopal
Balwant Singh's Eating House,4.1,200,38,0,1,1,1,0,0,Kolkata
Balwant Vegetarians Dhaba,4.2,300,30,0,1,0,0,1,0,Ludhiana
Bam Bam Sweets,4.1,200,17,0,0,0,0,0,0,Patna
Bamboo & Biryani,4,150,21,0,1,0,0,1,0,Vijayawada
Bamboo Garden,3.6,150,32,0,0,0,0,0,0,Madurai
Bamboo Heights,4.2,150,45,0,1,0,0,0,0,Guwahati
Bamboo House,4,200,35,0,1,0,1,0,0,Kanpur
Bamboo Multicuisine Restaurant,4,150,38,0,1,0,0,0,0,Mysore
Bamboo Restaurant,3.9,100,28,0,1,1,0,1,0,Mangalore
Bam-Booze Family Restaurant - Golden Treat,4,250,34,0,1,0,0,1,0,Indore
Banana Leaf,3.6,100,20,1,0,0,1,0,0,Guntur
Banana Leaf,4.1,100,35,1,0,0,0,0,0,Kolkata
Banana Leaf,4.1,200,26,1,1,0,0,0,0,Mumbai
Banana Leaf,4.1,300,26,1,1,0,0,0,0,Jaipur
Banana Leaf,4.2,200,35,1,1,0,1,0,0,Pune
Banana Leaf,4.2,200,46,1,1,0,0,1,0,Indore
Banana Leaf - Grillz N BBQ,3.7,200,31,1,1,1,0,1,0,Puducherry
Banana Leaf @ Komala Vilas,4.3,200,44,1,0,0,0,0,0,Kolkata
Banana Leaf Bistro,3.8,100,26,1,0,0,1,0,0,Kharagpur
Banana Leaf Restaurant,3.8,150,30,1,1,1,0,1,0,Trichy
Banana Leaf Restaurant,4,150,21,0,1,1,0,0,0,Trichy
Banaras,3.4,150,33,0,1,1,1,1,0,Ludhiana
Banaras Ki Rasoi,4,200,44,1,1,1,1,1,0,Varanasi
Banaras Roti & Paratha Corner,4.3,100,20,0,1,1,0,0,0,Vellore
Banaras Special,4,100,37,1,0,0,1,0,0,Varanasi
Banarasi Bati Chokha Club,3.6,250,42,0,1,0,0,0,0,Varanasi
Banarasi Chinese Fast Food,3.8,150,34,0,1,0,0,0,0,Jamshedpur
Banarasi Dhaba,3.5,200,28,0,1,0,0,0,0,Varanasi
Banarasi Fast Food,3.6,100,39,0,0,1,0,0,0,Surat
Banarasi Food,4.4,100,44,0,1,1,1,0,0,Kanpur
Banarasi Food Restaurant,4,200,41,0,0,1,1,0,0,Varanasi
Banarasi Misthan Bhandar,4.4,200,27,0,0,0,1,0,0,Ranchi
Banarasi Momos,3.8,150,35,0,0,0,0,0,0,Varanasi
Banarasi Paan Bhandar,4.7,150,25,0,0,0,0,0,0,Bhubaneswar
Banarasi Paan Cafe,3.9,150,37,0,0,0,0,0,0,Dehradun
Banarasi Paan Cafe,4.3,200,22,0,0,0,0,0,0,Dehradun
Banarasi Paan Cafe,4.7,100,28,0,0,1,1,0,0,Siliguri
Banarasi Paan Mandir,4.5,200,25,0,0,0,0,0,0,Raipur
Banarasi Pan,4.1,200,24,0,0,0,0,0,0,Guntur
Banarasi Pan,4.4,150,25,0,0,0,0,0,0,Udaipur
Banarasi Rasoi,4,100,31,1,1,1,0,0,0,Varanasi
Banarasi Swaad,4,200,35,1,1,0,0,1,0,Varanasi
Banarasi Tadka,4.3,350,46,1,1,0,0,0,0,Varanasi
Banarasiya Restaurant,3.9,250,46,0,1,1,0,0,0,Varanasi
Banaraswala,3,150,38,0,1,0,1,0,0,Goa
Banarsi Paan Bhandar,4.4,50,17,0,0,0,0,0,0,Jamshedpur
Banarsi Tea Point,4.4,150,29,0,0,0,1,0,0,Kanpur
Banashankari Donne Biriyani,3.3,150,44,1,0,0,0,1,0,Bangalore
Banbury Bakers,3.7,300,27,0,0,0,0,0,1,Ranchi
Banchharam's,4.1,200,26,0,0,0,0,0,0,Kolkata
Bandana Chat Centre,4.1,400,28,0,0,0,1,0,0,Kolkata
Bandhej - Empires Hotel,3.6,250,40,0,1,0,0,0,0,Bhubaneswar
Bandra Gomantak,3.7,400,47,0,1,0,0,1,0,Mumbai
Bandwal Restaurant,3.6,250,28,0,1,0,0,0,0,Udaipur
Bandy's Fast Food & Pav Bhaji,4.2,100,27,0,0,1,1,0,0,Mumbai
Banerjeeoli's Pizzeria,4,150,36,0,0,1,0,0,0,Durgapur
Bangali Ahar,3.2,150,54,0,1,0,0,0,0,Kolkata
Bangali Babu Sandwich,3.6,150,31,0,0,1,0,0,0,Nagpur
Bangali Chat Corner,3.6,200,17,0,0,0,1,0,0,Raipur
Bangali Chicken Dhaba,3.6,300,25,0,1,0,0,0,0,Ludhiana
Bangalikhana,4.3,200,61,0,0,0,0,0,0,Bangalore
Bangalir Bhuribhoj,3.5,200,30,0,0,0,0,0,0,Siliguri
Bangalir Bhuribhoj,3.6,100,25,0,0,1,0,0,0,Siliguri
Bangalir Bhuribhoj,3.8,250,29,0,0,0,0,0,0,Siliguri
Bangalir Bhuribhoj Nasta Special,3.5,150,35,0,0,0,0,0,0,Siliguri
Bangaliyana,3.1,100,52,0,0,0,0,0,0,Kolkata
Bangalore Iyangar's Bakery,3.3,150,36,0,0,0,0,0,1,Trichy
Bangalore Iyengar's Bakery,4.1,100,24,0,0,0,0,0,1,Mumbai
Bangalore Juice Center- Nehru Nagar,4.1,100,26,0,0,0,0,0,0,Belgaum
Bangalore Juicy & Foods,4,100,32,0,0,0,0,0,0,Coimbatore
Bangalore Tiffin House,3.8,150,40,1,0,0,1,0,0,Chennai
Bangarpet Pani Puri,4.3,150,21,0,0,0,1,0,0,Mysore
Bangla Foods,4.1,100,35,1,1,1,1,0,0,Delhi NCR
Bangla Foods,4.2,150,32,1,1,1,1,0,0,NCR
Bangla Pastry Shop,4.5,150,11,0,0,1,1,0,1,NCR
Bangla Sweet House,4.3,200,27,0,1,0,1,0,0,Delhi NCR
Bangla Sweet House,4.3,300,21,0,1,0,1,0,0,NCR
Banglar Henshel Restaurant,3.7,100,56,0,1,0,0,1,0,Siliguri
Banglar Rannaghar,3.6,250,63,0,0,0,0,1,0,Kolkata
Banglore Ayyangar Bakery,4.1,150,27,0,0,0,0,0,1,Nashik
Banglore Dosa House,4.4,150,33,1,0,0,0,0,0,Dehradun
Banglore Fresh Juice Center - RPD Cross,4.1,200,21,0,0,0,0,0,0,Belgaum
Banglore Iyenger Bakery,4.2,200,37,0,0,0,0,0,1,Pune
Bangolicious,4.6,150,50,0,1,1,1,0,0,Raipur
Banjara,3.7,150,36,0,1,0,0,0,0,Jamshedpur
Banjara,4.2,250,31,1,0,0,0,0,0,Patna
Banjara Fast Food,3.8,100,40,0,1,0,0,0,0,NCR
Banjara Fast Food,3.8,250,32,0,0,1,0,0,0,Ranchi
Banjara Fast Food,4.1,50,24,0,1,0,0,1,0,Patna
Banjara Food Truck,4.1,150,47,0,0,0,0,0,0,Dehradun
Banjara Vyanjan,3.2,250,32,0,1,0,0,0,0,Patna
Banjo's The Food Chain,3.4,300,29,0,0,1,0,0,0,Jalgaon
Banjo's The Food Chain,4.1,50,24,0,0,1,1,0,0,Nashik
Banke Bihari Bhojnalaya,4.3,100,49,0,1,0,0,0,0,Kanpur
Banke Bihari Sweets,3.5,100,27,0,1,0,1,0,0,Surat
Banker's Cafe,4,250,38,0,1,1,1,0,0,Gorakhpur
Bankhandi Namkeen,4.1,200,19,0,0,0,1,0,0,Kota
Bansal Bakers,4.3,100,13,0,0,0,0,0,1,Amritsar
Bansal Foods Restaurant,3.7,150,46,0,1,1,0,0,0,Dehradun
Bansal Shahi Thali,3.5,150,29,0,1,0,0,0,0,Amritsar
Bansal Sweets,4.1,150,23,0,0,0,0,0,0,Agra
Bansal Sweets,4.3,100,37,0,0,0,1,0,0,Agra
Bansal Sweets,4.4,250,17,0,0,0,0,0,0,Amritsar
Bansal The Food House,4.2,250,21,1,0,1,0,0,0,Amritsar
Bansal Tiffin Centre,4.3,250,36,0,1,0,0,0,0,Agra
Bansi Dosa Bhandar,3.7,150,53,1,0,1,0,0,0,Kanpur
Bansi Pure Vegetarian,3.9,150,44,0,1,1,0,0,0,Ludhiana
Bansi Sahu Veg Biryani,4.1,100,22,0,1,0,0,1,0,Jhansi
Bansi Vihar Restaurant,4.3,150,28,1,0,0,0,0,0,Patna
Bansiwala,4.2,200,25,0,0,0,1,0,0,Kanpur
Bansiwala Makhan Roti,4,100,23,0,1,0,0,0,0,Indore
Bansuri,3.8,250,39,1,1,0,0,0,0,Guwahati
Bansuri Family Restaurant And Bar,4.1,150,24,0,1,0,0,1,0,Mumbai
Bansuri Pure Veg Restaurant,3.9,50,24,1,1,1,0,1,0,Kolhapur
Bansuri Vyanjan,3.5,150,28,0,1,0,0,0,0,Chandigarh
Bansuriwala,3.4,100,32,0,1,1,0,0,0,Indore
Banty Kitchen,4,100,31,0,1,0,1,0,0,Dehradun
Banu Beef Paradise,3.9,50,28,1,0,0,0,1,0,Madurai
Banyan Kitchen,4.2,150,23,0,1,0,0,1,0,Raipur
Bao Bao,4,150,36,0,0,0,0,0,0,Chennai
Bao Bao,4,150,56,0,0,1,0,0,0,Chennai
Bao Tao,4.1,200,31,0,0,0,0,0,0,Trivandrum
Baozi Momos,4.1,350,34,0,1,1,0,0,0,NCR
Baozi Momos,4.3,100,40,0,1,1,0,0,0,Jaipur
Bapi Chat House,3.9,150,51,0,1,0,1,1,0,Guwahati
Bappa Pizza Parlour,3.4,100,26,0,0,1,0,0,0,Saharanpur
Bappas Pavbhaji,4.4,150,21,0,1,0,1,0,0,Nashik
Bapu Ki Kutia,3.8,150,32,0,1,0,1,0,0,Indore
Bapu Ki Kutia,4,450,40,0,1,0,0,0,0,Indore
Bapu Ki Kutia,4.2,200,31,0,1,0,0,0,0,Indore
Bapu Sweets & Hotel,4,150,23,1,0,0,0,0,0,Bhubaneswar
Barabati Restaurant,4.1,200,24,0,1,0,0,0,0,Cuttack
Baradari Nights,4,100,33,0,1,0,0,0,0,Lucknow
Barako,3.9,300,35,0,0,0,0,0,0,Mumbai
Barb Q & Grills,3.5,200,33,0,1,1,0,0,0,Raipur
Barbecue,4.5,100,22,0,1,0,0,0,0,Nagpur
Barbecue By Punjab Grill,3.9,450,45,0,0,0,0,0,0,Chennai
Barbecue Chicken,4.2,100,35,0,1,0,0,0,0,Surat
Barbecue Odisha,3.8,100,50,0,1,0,0,1,0,Bhubaneswar
Barbecue Space Restaurant,4.4,200,29,0,0,1,0,0,0,Trivandrum
Barbecue Wala,4.2,100,29,0,0,0,0,0,0,Raipur
Barbeque,4,300,33,0,1,0,0,0,0,Nagpur
Barbeque Bistro,4,200,28,0,0,1,0,0,0,Patiala
Barbeque Chef,3.1,200,41,0,1,0,0,1,0,Kanpur
Barbeque India,3.8,50,37,0,1,0,0,0,0,Lucknow
Barbeque Nation,3.4,250,41,0,1,0,0,1,0,Nellore
Barbeque Nation,3.5,100,60,0,1,0,0,1,0,Mumbai
Barbeque Nation,3.5,200,49,0,1,0,0,1,0,Surat
Barbeque Nation,3.5,300,29,0,1,0,0,1,0,Visakhapatnam
Barbeque Nation,3.6,100,28,0,1,0,0,1,0,Guntur
Barbeque Nation,3.6,100,32,0,1,0,0,1,0,Amritsar
Barbeque Nation,3.6,100,32,0,1,0,0,1,0,Rajkot
Barbeque Nation,3.6,100,63,0,1,0,0,1,0,Trivandrum
Barbeque Nation,3.6,150,34,0,1,0,0,1,0,Salem
Barbeque Nation,3.6,250,48,0,1,0,0,1,0,Amravati
Barbeque Nation,3.7,100,38,0,1,0,0,1,0,Madurai
Barbeque Nation,3.7,150,38,0,1,0,0,1,0,Nagpur
Barbeque Nation,3.7,150,38,0,1,0,0,1,0,Thrissur
Barbeque Nation,3.7,150,46,0,1,0,0,1,0,Bhubaneswar
Barbeque Nation,3.7,200,54,0,1,0,0,1,0,Coimbatore
Barbeque Nation,3.7,300,35,0,1,0,0,1,0,Vijayawada
Barbeque Nation,3.7,300,46,0,1,0,0,1,0,Jalandhar
Barbeque Nation,3.7,300,53,0,1,0,0,1,0,Chennai
Barbeque Nation,3.7,400,38,0,1,0,0,1,0,Goa
Barbeque Nation,3.8,50,51,0,1,0,0,1,0,Vadodara
Barbeque Nation,3.8,100,30,0,1,0,0,1,0,Jaipur
Barbeque Nation,3.8,100,42,0,1,0,0,1,0,Bangalore
Barbeque Nation,3.8,150,20,0,1,0,0,1,0,Ahmedabad
Barbeque Nation,3.8,200,30,0,1,0,0,1,0,Dehradun
Barbeque Nation,3.8,200,34,0,1,0,0,1,0,Vellore
Barbeque Nation,3.8,350,35,0,1,0,0,1,0,Nashik
Barbeque Nation,3.8,400,50,0,1,0,0,1,0,Puducherry
Barbeque Nation,3.8,500,40,0,1,0,0,1,0,Chandigarh
Barbeque Nation,3.9,50,33,0,1,0,0,1,0,Bareilly
Barbeque Nation,3.9,100,49,0,1,0,0,1,0,Hyderabad
Barbeque Nation,3.9,100,56,0,1,0,0,1,0,Siliguri
Barbeque Nation,3.9,100,59,0,1,0,0,1,0,Raipur
Barbeque Nation,3.9,150,36,0,1,0,0,1,0,Meerut
Barbeque Nation,3.9,200,42,0,1,0,0,1,0,Guwahati
Barbeque Nation,3.9,200,44,0,1,0,0,1,0,Gorakhpur
Barbeque Nation,4,100,47,0,1,0,0,1,0,Patna
Barbeque Nation,4,100,55,0,1,0,0,1,0,Jabalpur
Barbeque Nation,4,100,55,0,1,0,0,1,0,Udaipur
Barbeque Nation,4,150,37,0,1,0,0,1,0,Allahabad
Barbeque Nation,4,200,39,0,1,0,0,1,0,Agra
Barbeque Nation,4,200,42,0,1,0,0,1,0,Pune
Barbeque Nation,4,200,45,0,1,0,0,1,0,Ludhiana
Barbeque Nation,4,250,40,0,1,0,0,1,0,Kanpur
Barbeque Nation,4,300,52,0,1,0,0,1,0,Asansol
Barbeque Nation,4,350,46,0,1,0,0,1,0,Kota
Barbeque Nation,4.1,50,37,0,1,0,0,1,0,Delhi NCR
Barbeque Nation,4.1,100,53,0,1,0,0,1,0,Varanasi
Barbeque Nation,4.1,150,47,0,1,0,0,1,0,Indore
Barbeque Nation,4.1,200,42,0,1,0,0,0,0,Ranchi
Barbeque Nation,4.1,350,32,0,1,0,0,1,0,NCR
Barbeque Nation,4.2,50,39,0,1,0,0,1,0,Lucknow
Barbeque Nation,4.2,150,41,0,1,0,0,1,0,Patiala
Barbeque Nation,4.3,100,46,0,1,0,0,1,0,Durgapur
Barbeque On Table,4.1,150,27,0,1,1,0,0,0,Jodhpur
Barbeque Pride,4,200,26,1,1,0,0,0,0,Vijayawada
Barbeque Rolls 'N' Wraps,3.4,150,47,0,0,0,0,0,0,NCR
Barbetos The Cloud Kitchen,4.3,200,29,0,0,0,0,0,0,Raipur
BarBQ,4.2,100,59,0,1,0,0,0,0,Kolkata
BAR-B-QUE Restaurant,4,200,34,0,1,0,0,0,0,Moradabad
Bare Press,4.6,150,28,0,0,0,0,0,0,Surat
Bareilly City Restaurant,2.9,150,35,0,1,0,0,0,0,Bareilly
Bareilly Foodie's,3.3,150,42,0,0,1,0,0,0,Bareilly
Bareilly Vah-G-Vah,3.7,250,28,0,1,0,0,0,0,Bareilly
Barfiz,4.1,150,19,0,1,0,0,0,0,Aligarh
Bariestos Bakehouse,3.6,50,19,0,0,0,0,0,1,Amritsar
Bar-ish,3.1,350,37,0,1,0,0,0,0,Ludhiana
Barish Restaurant,3.1,200,31,1,0,1,1,0,0,Amravati
Barista Coffee,3.5,100,28,0,0,1,0,0,0,Meerut
Barista Coffee,3.6,100,26,0,0,1,0,0,0,Kanpur
Barista Coffee,3.6,150,18,0,0,0,0,0,0,Patiala
Barista Coffee,3.6,200,12,0,0,1,0,0,0,Amritsar
Barista Coffee,3.8,100,11,0,0,1,0,0,0,NCR
Barista Coffee,3.9,150,26,0,0,0,0,0,0,Jodhpur
Barista Coffee,3.9,200,19,0,0,0,0,0,0,Siliguri
Barista Coffee,4.1,100,15,0,0,0,0,0,0,Ludhiana
Barista Coffee,4.1,150,16,0,0,0,0,0,0,Jalandhar
Barista Coffee,4.1,200,31,0,0,1,0,0,0,Patna
Barista Coffee,4.1,300,17,0,0,0,0,0,0,Jaipur
Barista Coffee,4.2,50,26,0,0,1,1,0,1,Dehradun
Barista Coffee,4.2,100,34,0,0,0,0,0,0,Moradabad
Barista Coffee,4.2,200,29,0,0,0,0,0,0,Kolkata
Barista Coffee,4.3,100,24,0,0,1,0,0,1,Udaipur
Barista Coffee,4.3,250,41,0,0,0,0,0,0,Guwahati
Barista Coffee,4.3,500,17,0,0,1,0,0,0,Chandigarh
Barista Diner,4.3,150,30,0,0,0,0,0,0,Chandigarh
Barkaas,3.6,450,30,0,0,0,0,1,0,Nellore
Barkaas Arabic Restaurant,3.4,150,23,0,0,0,0,0,0,Vijayawada
Barkaas Arabic Restaurant,4,350,39,0,1,0,0,0,0,Kolkata
Barkaas Arabic Restaurant,4.3,350,15,0,0,0,0,0,0,Vijayawada
Barkaas Family Restaurant,3.5,150,20,1,1,0,0,1,0,Palakkad
Barkaas Indo - Arabic Restaurant,3.5,100,22,0,1,0,0,0,0,Visakhapatnam
Barkaas Indo Arabic Restaurant,3.8,200,29,0,1,1,0,1,0,Guntur
Barkaas Indo-Arabic Restaurant,3.7,300,28,0,0,1,0,0,0,Lucknow
Barly's Bite Cafe & Restro,4,500,32,0,1,1,0,0,0,Bareilly
Baroda Fast Food,4.2,150,49,0,0,1,1,0,0,Vadodara
Baroda Sandwich,3.5,100,31,0,0,0,0,0,0,Vadodara
Baroda Sandwich,4,50,24,0,0,1,0,0,0,Vadodara
Baroda Sandwich & Fast Food,3.9,100,47,0,0,1,1,0,0,Vadodara
Barometer,4.5,100,36,0,1,0,0,0,0,Pune
Barracuda Brew,4,150,55,0,1,0,0,0,0,Chennai
Barrocco 22,4.3,250,36,0,0,0,0,0,0,Chennai
Barsana Foods,3.5,100,38,1,1,1,0,0,0,Asansol
Barsane Ki Rasoi,4.1,100,45,0,1,0,0,0,0,Gonda
Barssco,4,100,58,0,0,0,0,0,0,Udaipur
Barua Brew & Cafe,3.5,150,44,0,0,0,0,0,0,Guwahati
Barve Dahivada,4.3,150,34,0,0,0,1,0,0,Pune
Basant,3.4,200,35,0,1,0,0,0,0,Ludhiana
Basant,3.5,150,32,1,1,1,0,0,0,Ludhiana
Basant,3.7,350,35,0,0,0,0,0,0,Ludhiana
Basant,3.8,200,34,0,1,1,0,0,0,Ludhiana
Basant,4.3,200,22,1,1,1,1,0,0,Ludhiana
Basant Cafe,4,250,48,1,1,1,1,0,0,Varanasi
Basant Continental,4,200,27,0,1,1,0,0,0,Jalandhar
Basant Dhaba,4,100,34,1,1,1,1,0,0,Jaipur
Basant Ice Cream,3.5,150,21,1,0,1,0,0,0,Ludhiana
Basant Ice Cream - Ludhiana Famous,3.6,350,15,0,0,0,0,0,0,Patiala
Basant Ice Cream Parlour,4.1,150,27,0,0,0,0,0,0,Ludhiana
Basant Restaurant,3.6,100,20,0,0,1,1,0,0,Patiala
Basant Restaurant,3.9,200,37,0,1,1,0,0,0,Ludhiana
Basant Snacks and Ice Cream Parlour,3.8,100,30,0,0,0,1,0,0,Kolhapur
Basant Sweets & Restaurant,4,250,33,1,1,1,0,0,0,Jaipur
Basant Vihar,4.3,150,31,1,0,0,1,0,0,Patna
Basaveshwar Khanavali,4.2,150,40,1,0,0,0,0,0,Bangalore
Basaveshwarnagar Dosa Corner,4.2,100,32,1,0,0,0,0,0,Bangalore
Basha Hotel,4.2,350,18,1,0,0,0,1,0,Guntur
Basheer Bai Biriyani,3.7,400,39,1,0,0,1,1,0,Chennai
Basheer Bai Biriyani,3.8,150,35,0,0,0,0,1,0,Chennai
Basil,3.8,150,32,0,0,0,0,0,0,Raipur
Basil Pizzeria,4.2,250,15,0,0,1,0,0,0,Vijayawada
Baskaran Hotel,4,150,23,1,0,0,0,0,0,Madurai
Baskin Robbins,3.8,200,17,0,0,0,0,0,0,Ahmedabad
Baskin Robbins - Ice Cream Desserts,3.3,200,21,0,0,0,0,0,0,Pune
Baskin Robbins - Ice Cream Desserts,3.7,100,16,0,0,0,0,0,0,Guntur
Baskin Robbins - Ice Cream Desserts,3.9,100,26,0,0,0,0,0,0,Kanpur
Baskin Robbins - Ice Cream Desserts,3.9,100,27,0,0,0,0,0,1,Surat
Baskin Robbins - Ice Cream Desserts,3.9,100,31,0,0,0,0,0,0,Udaipur
Baskin Robbins - Ice Cream Desserts,3.9,150,12,0,0,0,0,0,0,Vijayawada
Baskin Robbins - Ice Cream Desserts,4,100,28,0,0,0,0,0,0,Mangalore
Baskin Robbins - Ice Cream Desserts,4,150,12,0,0,0,0,0,0,Manipal
Baskin Robbins - Ice Cream Desserts,4,150,24,0,0,0,0,0,1,Vadodara
Baskin Robbins - Ice Cream Desserts,4.1,100,30,0,0,0,0,0,0,Trichy
Baskin Robbins - Ice Cream Desserts,4.1,150,16,0,0,0,0,0,0,Jamshedpur
Baskin Robbins - Ice Cream Desserts,4.1,150,19,0,0,0,0,0,0,Ujjain
Baskin Robbins - Ice Cream Desserts,4.1,150,23,0,0,0,0,0,0,Dharamshala
Baskin Robbins - Ice Cream Desserts,4.1,150,26,0,0,0,0,0,0,Bhopal
Baskin Robbins - Ice Cream Desserts,4.1,200,12,0,0,0,0,0,0,Amritsar
Baskin Robbins - Ice Cream Desserts,4.1,350,25,0,0,0,0,0,0,Ludhiana
Baskin Robbins - Ice Cream Desserts,4.1,400,25,0,0,0,0,0,1,Bangalore
Baskin Robbins - Ice Cream Desserts,4.2,100,19,0,0,0,0,0,0,Moradabad
Baskin Robbins - Ice Cream Desserts,4.2,100,23,0,0,0,0,0,0,Madurai
Baskin Robbins - Ice Cream Desserts,4.2,100,23,0,0,0,0,0,1,Nagpur
Baskin Robbins - Ice Cream Desserts,4.2,100,37,0,0,0,0,0,0,Ranchi
Baskin Robbins - Ice Cream Desserts,4.2,150,12,0,0,0,0,0,0,Solapur
Baskin Robbins - Ice Cream Desserts,4.2,150,15,0,0,0,0,0,0,Lucknow
Baskin Robbins - Ice Cream Desserts,4.2,150,27,0,0,0,0,0,1,Dehradun
Baskin Robbins - Ice Cream Desserts,4.2,150,28,0,0,0,0,0,0,Warangal
Baskin Robbins - Ice Cream Desserts,4.2,200,18,0,0,0,0,0,0,Bareilly
Baskin Robbins - Ice Cream Desserts,4.2,200,22,0,0,0,0,0,0,Saharanpur
Baskin Robbins - Ice Cream Desserts,4.2,250,16,0,0,0,0,0,0,Aligarh
Baskin Robbins - Ice Cream Desserts,4.2,350,23,0,0,0,0,0,0,Nashik
Baskin Robbins - Ice Cream Desserts,4.3,50,14,0,0,0,0,0,0,Thrissur
Baskin Robbins - Ice Cream Desserts,4.3,100,12,0,0,0,0,0,0,Puducherry
Baskin Robbins - Ice Cream Desserts,4.3,100,15,0,0,0,0,0,0,Patiala
Baskin Robbins - Ice Cream Desserts,4.3,100,15,0,0,0,0,0,0,Siliguri
Baskin Robbins - Ice Cream Desserts,4.3,100,26,0,0,0,0,0,0,Gonda
Baskin Robbins - Ice Cream Desserts,4.3,100,28,0,0,0,0,0,0,Nellore
Baskin Robbins - Ice Cream Desserts,4.3,150,16,0,0,0,0,0,0,Raipur
Baskin Robbins - Ice Cream Desserts,4.3,150,17,0,0,0,0,0,0,Trivandrum
Baskin Robbins - Ice Cream Desserts,4.3,150,23,0,0,0,0,0,0,Tirunelveli
